Time              ,co2,spo2,pr
20/11/2019 8:37:00,39.5,100,95
20/11/2019 8:37:01,39.5,100,95
20/11/2019 8:37:02,39.5,100,95
20/11/2019 8:37:03,39.5,100,94
20/11/2019 8:37:04,39.5,100,94
20/11/2019 8:37:05,39.5,100,94
20/11/2019 8:37:06,39.5,100,94
20/11/2019 8:37:07,39.5,100,95
20/11/2019 8:37:08,39.5,100,95
20/11/2019 8:37:09,39.5,100,95
20/11/2019 8:37:10,39.5,100,95
20/11/2019 8:37:11,39.5,100,95
20/11/2019 8:37:12,39.5,100,95
20/11/2019 8:37:13,39.5,100,95
20/11/2019 8:37:14,39.5,100,95
20/11/2019 8:37:15,39.5,100,95
20/11/2019 8:37:16,39.5,100,95
20/11/2019 8:37:17,39.5,100,95
20/11/2019 8:37:18,39.5,100,95
20/11/2019 8:37:19,39.6,100,95
20/11/2019 8:37:20,39.6,100,95
20/11/2019 8:37:21,39.6,100,95
20/11/2019 8:37:22,39.6,100,95
20/11/2019 8:37:23,39.6,100,94
20/11/2019 8:37:24,39.6,100,94
20/11/2019 8:37:25,39.6,100,94
20/11/2019 8:37:26,39.6,100,94
20/11/2019 8:37:27,39.7,100,94
20/11/2019 8:37:28,39.7,100,94
20/11/2019 8:37:29,39.7,100,94
20/11/2019 8:37:30,39.7,100,94
20/11/2019 8:37:31,39.7,100,94
20/11/2019 8:37:32,39.7,100,94
20/11/2019 8:37:33,39.7,100,94
20/11/2019 8:37:34,39.7,100,94
20/11/2019 8:37:35,39.8,100,95
20/11/2019 8:37:36,39.8,100,95
20/11/2019 8:37:37,39.8,100,95
20/11/2019 8:37:38,39.8,100,95
20/11/2019 8:37:39,39.9,100,94
20/11/2019 8:37:40,39.9,100,94
20/11/2019 8:37:41,39.9,100,94
20/11/2019 8:37:42,39.9,100,94
20/11/2019 8:37:43,40,100,94
20/11/2019 8:37:44,40,100,94
20/11/2019 8:37:45,40,100,94
20/11/2019 8:37:46,40,100,94
20/11/2019 8:37:47,40.1,100,94
20/11/2019 8:37:48,40.1,100,94
20/11/2019 8:37:49,40.1,100,94
20/11/2019 8:37:50,40.1,100,94
20/11/2019 8:37:51,40.2,99,94
20/11/2019 8:37:52,40.2,99,94
20/11/2019 8:37:53,40.2,99,94
20/11/2019 8:37:54,40.2,99,94
20/11/2019 8:37:55,40.3,99,0
20/11/2019 8:37:56,40.3,99,0
20/11/2019 8:37:57,40.3,99,0
20/11/2019 8:37:58,40.3,99,0
20/11/2019 8:37:59,40.5,99,97
